Date,Season,Word1,Word2
2019-07-24,0,Disco,Dirty
2019-07-24,0,Tools,Pain
2019-08-30,0,,Treehouse
2019-08-30,0,Suffocating,Biodiversity
2019-08-30,0,,Monkey
2019-08-30,0,Ravaging,Fire
2019-10-18,1,,Motorbike
2019-10-18,1,Mystery,Denim
2019-10-18,1,,Elephant
2019-10-18,1,Magic,Alcohol
2019-11-22,1,Brittle,Reflection
2019-11-22,1,,Aquarium
2019-11-22,1,Tears,Torpedo
2020-12-19,1,,Gift
2020-12-19,1,Stoned,Gift
2020-12-19,1,,Reindeer
2020-12-19,1,Laughing,Snowman
2020-01-30,1,Sheltering,Paws
2020-01-30,1,Scorched,Wildlife
2020-01-30,1,Comforting,Kangaroo
2020-02-28,2,Tears,Torpedo
2020-02-28,2,Escaping,Paws
2020-02-28,2,Affectionate,Forest
2020-03-06,2,Comforting,Beauty
2020-03-06,2,Affectionate,Wildlife
2020-03-06,2,Sheltering,Forest
2020-03-11,2,Loving,Atmosphere
2020-03-13,2,Abnormal,Laugh
2020-03-13,2,Mutation,Shark
2020-03-13,2,Artificial,Clown
2020-03-13,2,Drowsy,Syringe
2020-03-13,2,Emotional,Leech
2020-03-13,2,Unlucky,Virus
2020-03-27,2,Acidic,Stiletto
2020-03-27,2,Eruptive,Samurai
2020-03-27,2,Devilish,Jellyfish
2020-03-27,2,Jazzy,Monkey
2020-03-27,2,Brainless,Hookah
2020-03-28,2,Fearless,Cannon
2020-03-28,2,Hypnotic,Reaper
2020-03-28,2,Elastic,Quarantine
2020-05-15,3,Sparkling,Boss
2020-05-15,3,Tenuous,Cactus
2020-05-15,3,Blushing,Wings
2020-05-15,3,Greedy,Departure
